epoch,train_loss,val_loss,val_ppl,val_bleu,lr
1,6.9127545567850275,6.035705655813217,418.0937358430634,,3.174845886113226e-05
2,5.780739716771576,5.462639421224594,235.71876512623527,,6.58436163977648e-05
3,5.294977095392015,5.019018538296223,151.26277229877007,,0.00011894742631253963
4,4.8992198329004975,4.644079439342022,103.9676132247186,,0.0001858608225541808
5,4.538753708203633,4.2764181569218636,71.98214894250246,,0.00026003272776432525
6,4.219118955234687,3.9882247522473335,53.95901366919836,,0.0003342014288011964
7,3.9821336629490056,3.808722797781229,45.09280943567249,,0.00040110552622383346
8,3.812195843913489,3.645797673612833,38.31332219186924,,0.0004541948530638111
9,3.6765470444742174,3.5391049422323704,34.436083109205185,,0.000488271761218257
10,3.5591875956290298,3.4220621958374977,30.63252018670264,14.322880587580512,0.0004999999998852328
11,3.4532805983391075,3.3477072454988956,28.437458731180918,,0.0004998474428791592
12,3.360017624373237,3.267197798937559,26.237712886449977,,0.0004993904864683316
13,3.2795357215735645,3.2030219100415707,24.60677742417588,,0.0004986296873837478
14,3.2085623184425964,3.145967338234186,23.242147620486307,,0.0004975659725419003
15,3.1441183036400213,3.090834803879261,21.995432185729335,,0.0004962006379154711
16,3.08577575472494,3.0457782335579395,21.02638827820186,,0.0004945353469543889
17,3.032831577377187,3.011417794972658,20.316183698786332,,0.0004925721285591712
18,2.9829865803735123,2.969712395220995,19.48631443287781,,0.0004903133746090222
19,2.936613215547469,2.9390487037599087,18.89786029515166,,0.0004877618370476956
20,2.892422422973646,2.906854573637247,18.299149322127203,22.497046755432976,0.0004849206245306758
21,2.852336943977409,2.883295603096485,17.87307880023329,,0.0004817931986377594
22,2.8128567609108157,2.858107414096594,17.428510749687824,,0.00047838336965565405
23,2.7760282090554633,2.826690398156643,16.88947079961149,,0.00047469529193573044
24,2.7403072681691913,2.79909735545516,16.429809797661257,,0.0004707334588325855
25,2.707145652423302,2.7813560366630554,16.140893758220194,,0.0004665026972295818
26,2.674597872007224,2.7577309161424637,15.764032423581556,,0.00046200816165803383
27,2.644322697280182,2.7340762838721275,15.395515779560649,,0.0004572553280172052
28,2.615450354086028,2.718991730362177,15.165024100565207,,0.00045224998690276947
29,2.5867411897828183,2.6988473497331142,14.862590478957635,,0.0004469982365518609
30,2.559964678146773,2.6811223812401295,14.601472521129734,26.304336676625155,0.0004415064754133119
31,2.533505364217692,2.66243052482605,14.331078845797798,,0.0004357813943521289
32,2.5081389428426824,2.6441981084644794,14.072156214550287,,0.0004298299684977038
33,2.4838683317518897,2.6263548396527767,13.823289846060362,,0.00042365944874569333
34,2.46049243501491,2.621513959020376,13.75653465728115,,0.00041727735292391955
35,2.437780258556207,2.606729816645384,13.554652097697106,,0.0004106914566330549
36,2.4164084734188185,2.5964724645018578,13.416327890791232,,0.0004039097837732502
37,2.3955982683433428,2.582397650927305,13.228818253931653,,0.00039694059676824846
38,2.374269684569703,2.570368278771639,13.070637192872905,,0.0003897923864988944
39,2.3547842442575426,2.5577986389398575,12.907372231460798,,0.0003824738619583038
40,2.3351115903092756,2.5488815270364285,12.79278739108139,28.330043483287014,0.0003749939396412971
41,2.3165868108885155,2.539842687547207,12.677676457577844,,0.00036736173268102373
42,2.2987122347371445,2.532565403729677,12.585752292651055,,0.00035958653974601357
43,2.2807290334668426,2.516501609236002,12.385192542356256,,0.0003516778337111813
44,2.263630823128753,2.5015100240707397,12.20090371591441,,0.00034364525011658755
45,2.247256907117036,2.498116921633482,12.15957495578954,,0.00033549857542801767
46,2.231898515174786,2.4933823868632317,12.102141093963342,,0.0003272477351136806
47,2.214618543162942,2.485209785401821,12.003638178768767,,0.0003189027815515549
48,2.1996781271364956,2.4813197553157806,11.957034368991179,,0.0003104738817821144
49,2.1844432207031383,2.4621360674500465,11.729840529208113,,0.00030197130512135575
50,2.1701525733288793,2.456851840019226,11.668020862563099,28.61053110941341,0.0002934054106492187
51,2.1559330818967686,2.446898680180311,11.552463221727798,,0.0002847866345886423
52,2.142284231053458,2.4457261227071285,11.53892523322939,,0.00027612547759063593
53,2.128371220909887,2.4322086833417416,11.383997979957082,,0.0002674324919408527
54,2.1150580383837223,2.4297669157385826,11.356234811891563,,0.00025871826870325497
55,2.103030546568334,2.4233687594532967,11.28380779351906,,0.00024999342481653466
56,2.089756486730443,2.4165497682988644,11.207125353562159,,0.00024126859015900857
57,2.0779990556960306,2.4078929349780083,11.110525863481888,,0.00023255439459774903
58,2.065631091077295,2.4041483625769615,11.068999492746203,,0.00022386145503772864
59,2.0546269714832306,2.401419460773468,11.038834457496803,,0.00021520036248675657
60,2.0425971960648894,2.392616953700781,10.942091454265373,29.00952076273874,0.00020658166915196705
